B1,B2,B3,B4,B5,B6_VCID_2,B7,system:index,WADMKC,KDBBPS,WADMKD,KDEPUM,KDCPUM,FCODE,WIADKK,NAMOBJ,KDPBPS,WIADKC,WIADKD,SHAPE_Leng,WADMKK,REMARK,KDCBPS,KDEBPS,KDPKAB,SRS_ID,SHAPE_Area,KDPPUM,TIPADM,WIADPR,LUASWH,METADATA,WADMPR
1894.7686274509804,1621.1019607843139,1534.992156862745,2055.023529411765,2029.7058823529414,9928.101960784312,1495.4588235294118,0,,,,,,BA03080040,,JAKARTA PUSAT,,,0,0.376833837648,JAKARTA PUSAT,,,,3171,,0.00398407052553,,0,,0,,
5515.439215686275,4745.694117647059,4339.003921568627,5974.231372549019,5233.968627450981,29662.86274509804,3633.576470588236,1,,,,,,BA03080040,,JAKARTA UTARA,,,0,1.57063871027,JAKARTA UTARA,,,,3172,,0.0119895364207,,0,,0,,
4726.650980392156,4132.866666666666,3890.603921568627,5975.92549019608,5486.341176470589,25498.35294117647,3810.8509803921575,2,,,,,,BA03080040,,JAKARTA BARAT,,,0,0.616647416364,JAKARTA BARAT,,,,3173,,0.0102400403846,,0,,0,,
5085.686274509803,4292.874509803922,3955.980392156863,6752.388235294118,5951.8196078431365,29392.254901960794,4018.4509803921574,3,,,,,,BA03080040,,JAKARTA SELATAN,,,0,0.849348736789,JAKARTA SELATAN,,,,3174,,0.0118269057279,,0,,0,,
6617.3803921568615,5692.086274509806,5262.89411764706,8995.819607843141,7842.03137254902,37597.00784313726,5247.345098039217,4,,,,,,BA03080040,,JAKARTA TIMUR,,,0,1.0504648215,JAKARTA TIMUR,,,,3175,,0.015120876116,,0,,0,,
